sig_genes_by_c157,gene_symb_by_c157,sig_genes_by_c91215,gene_symb_by_c91215,sig_genes_by_c101819,gene_symb_by_c101819
ENSG00000240403,KIR3DL2,ENSG00000189253,KIR3DL2,ENSG00000150967,ABCB9
ENSG00000182195,LDOC1,ENSG00000255330,LDOC1,ENSG00000118557,PMFBP1
ENSG00000260286,ARMH2,ENSG00000140488,ARMH2,ENSG00000213934,HBG1
ENSG00000235169,SMIM1,ENSG00000259522,SMIM1,ENSG00000228570,NUTM2E
ENSG00000088827,SIGLEC1,ENSG00000118307,SIGLEC1,ENSG00000129354,AP1M2
ENSG00000255439,NA,ENSG00000273217,NA,ENSG00000185482,STAC3
ENSG00000183793,NPIPA5,ENSG00000187066,NPIPA5,ENSG00000163491,NEK10
ENSG00000271793,NA,ENSG00000107249,NA,ENSG00000258644,SYNJ2BP-COX16
ENSG00000189337,KAZN,ENSG00000158747,KAZN,ENSG00000142627,EPHA2
ENSG00000111319,SCNN1A,ENSG00000171570,SCNN1A,ENSG00000284922,NA
ENSG00000115155,OTOF,ENSG00000172296,OTOF,ENSG00000154380,ENAH
ENSG00000124507,PACSIN1,ENSG00000113389,PACSIN1,ENSG00000180071,ANKRD18A
ENSG00000181856,SLC2A4,ENSG00000144130,SLC2A4,ENSG00000169507,SLC38A11
ENSG00000164309,CMYA5,ENSG00000198796,CMYA5,ENSG00000283239,KBTBD11-OT1
ENSG00000196866,HIST1H2AD,ENSG00000285000,HIST1H2AD,ENSG00000160201,U2AF1
ENSG00000272414,FAM47E-STBD1,ENSG00000240563,FAM47E-STBD1,ENSG00000184434,LRRC19
ENSG00000130489,SCO2,ENSG00000213934,SCO2,ENSG00000122477,LRRC39
ENSG00000184828,ZBTB7C,ENSG00000196735,ZBTB7C,ENSG00000255439,NA
ENSG00000198064,NPIPB13,ENSG00000240764,NPIPB13,ENSG00000173421,CCDC36
ENSG00000078814,MYH7B,ENSG00000143195,MYH7B,ENSG00000240403,KIR3DL2
