ENSEMBL,ENTREZID,SYMBOL,gene_type,pi_value_C1,pi_value_C5,pi_value_C7,pi_value_C1_C5_C7
ENSG00000152763,79819,WDR78,protein_coding,0.225379557,1.812085191,0.11662923,1.812085191
ENSG00000171611,171558,PTCRA,protein_coding,0.007378068,1.80635391,0.066519674,1.80635391
ENSG00000150667,161835,FSIP1,protein_coding,0.880017132,2.051486406,0.039100962,1.805343183
ENSG00000162366,10158,PDZK1IP1,protein_coding,1.80113538,0.003626019,0.009743259,1.80113538
ENSG00000002745,51384,WNT16,protein_coding,1.801031434,0.073786196,0.165007924,1.801031434
ENSG00000168062,116071,BATF2,protein_coding,0.068977531,0.018241177,1.798264449,1.798264449
ENSG00000138772,306,ANXA3,protein_coding,1.796269256,0.189228255,0.021688394,1.796269256
ENSG00000205593,414918,DENND6B,protein_coding,1.78785574,0.001738885,0.196516538,1.78785574
ENSG00000008283,1534,CYB561,protein_coding,1.782145834,0.016617409,0.00175118,1.782145834
ENSG00000176020,386724,AMIGO3,protein_coding,0.100336856,1.78149714,0.09941503,1.78149714
ENSG00000104327,793,CALB1,protein_coding,1.765645129,0.0113601,0.301993111,1.765645129
ENSG00000151881,64417,TMEM267,protein_coding,0.064966886,1.761618065,0.126229009,1.761618065
ENSG00000134321,91543,RSAD2,protein_coding,0.021633937,0.002213258,1.759087501,1.759087501
ENSG00000129116,23022,PALLD,protein_coding,1.746515856,0.03248603,0.14989331,1.746515856
ENSG00000274600,440804,RIMBP3B,protein_coding,7.29E-05,1.73839514,0.054183391,1.73839514
ENSG00000167914,284110,GSDMA,protein_coding,1.737356478,0.001906315,0.084392224,1.737356478
ENSG00000253159,26025,PCDHGA12,protein_coding,0.203987428,0.125919259,1.726518748,1.726518748
ENSG00000089127,4938,OAS1,protein_coding,0.016871334,0.000694896,1.725024016,1.725024016
ENSG00000203989,727940,RHOXF2B,protein_coding,1.722802352,0.076668659,0.31909868,1.722802352
