"sig_genes_by_c157","gene_symb_by_c157","sig_genes_by_c91215","gene_symb_by_c91215","sig_genes_by_c101819","gene_symb_by_c101819"
"ENSG00000283528",NA,"ENSG00000242852",NA,"ENSG00000240764","PCDHGC5"
"ENSG00000088827","SIGLEC1","ENSG00000107249","SIGLEC1","ENSG00000237541","HLA-DQA1"
"ENSG00000177602","HASPIN","ENSG00000137878","HASPIN","ENSG00000261611",NA
"ENSG00000149571","KIRREL3","ENSG00000143195","KIRREL3","ENSG00000203852","HIST2H3A"
"ENSG00000185198","PRSS57","ENSG00000260537","PRSS57","ENSG00000184434","LRRC19"
"ENSG00000111319","SCNN1A","ENSG00000135547","SCNN1A","ENSG00000213648","SULT1A4"
"ENSG00000143473","KCNH1","ENSG00000258643","KCNH1","ENSG00000115155","OTOF"
"ENSG00000020577","SAMD4A","ENSG00000196993","SAMD4A","ENSG00000036448","MYOM2"
"ENSG00000144130","NT5DC4","ENSG00000153976","NT5DC4","ENSG00000203989","RHOXF2B"
"ENSG00000184916","JAG2","ENSG00000171241","JAG2","ENSG00000158220","ESYT3"
"ENSG00000154175","ABI3BP","ENSG00000258465","ABI3BP","ENSG00000240403","KIR3DL2"
"ENSG00000112232","KHDRBS2","ENSG00000108924","KHDRBS2","ENSG00000196993","NPIPB9"
"ENSG00000197653","DNAH10","ENSG00000036448","DNAH10","ENSG00000101447","FAM83D"
"ENSG00000108556","CHRNE","ENSG00000145244","CHRNE","ENSG00000183628","DGCR6"
"ENSG00000105426","PTPRS","ENSG00000283528","PTPRS","ENSG00000148935","GAS2"
"ENSG00000258790",NA,"ENSG00000283580",NA,"ENSG00000284922",NA
"ENSG00000170486","KRT72","ENSG00000255073","KRT72","ENSG00000255374","TAS2R43"
"ENSG00000184434","LRRC19","ENSG00000168903","LRRC19","ENSG00000180071","ANKRD18A"
"ENSG00000183793","NPIPA5","ENSG00000205238","NPIPA5","ENSG00000184828","ZBTB7C"
"ENSG00000115138","POMC","ENSG00000276368","POMC","ENSG00000154380","ENAH"
"ENSG00000102001","CACNA1F","ENSG00000141448","CACNA1F","ENSG00000181143","MUC16"
"ENSG00000172296","SPTLC3","ENSG00000176720","SPTLC3","ENSG00000102383","ZDHHC15"
"ENSG00000125618","PAX8","ENSG00000148019","PAX8","ENSG00000184659","FOXD4L4"
"ENSG00000179761","PIPOX","ENSG00000114638","PIPOX","ENSG00000260537",NA
"ENSG00000188223",NA,"ENSG00000277277",NA,"ENSG00000144152","FBLN7"
