ENSEMBL,logFC,P.Value,pi_value,sig95,sig90,sig85,sig80
ENSG00000285901,-4.36865903571442,0.0258868849782419,6.93271329673994,9.14382408607452,5.48545490129247,3.08743826446889,3.54641753186322
ENSG00000173366,3.67278481724742,0.016616059870214,6.53561756670273,3.91965881345645,2.9736808615556,2.90075202264886,2.60274075722985
ENSG00000270181,-2.75339946976864,0.00877102374728729,5.66360424952946,6.50263710523851,Inf,12.2792003025577,7.61080137792658
ENSG00000271793,-2.45570090567797,0.00896063731503937,5.0284432191251,3.74825685596662,2.44883434501324,2.93113991468173,1.85472065462925
ENSG00000172058,-2.3536619192605,0.00979181757639005,4.72882850871035,2.55765225109438,2.51752062337937,2.931196326599,1.00892192965093
ENSG00000254692,-2.67536352645321,0.0179308910701155,4.67224985370435,Inf,2.99238548506447,Inf,Inf
ENSG00000188223,2.72249298948948,0.0209897615034852,4.56832280696068,3.2078301303155,1.80400347385866,0.72195376484208,0.641813489690142
ENSG00000197467,2.05106260117052,0.00666193824770389,4.46393140897856,2.3749630255444,1.17071675544367,1.2985741808122,0.683589416470315
ENSG00000100362,1.96922926346374,0.0142620697555266,3.6348377252571,1.87443343521744,1.9796946396876,0.942268215815902,0.690549165086119
ENSG00000261611,-1.57127684699953,0.00490812958245364,3.62821019512143,1.89018900372682,1.17565742295356,0.814077581005017,0.630155381927695
ENSG00000260238,1.94467186152596,0.017849095009816,3.40003277652455,2.5891979368917,2.02182795656848,1.1614386531292,0.659594113206578
ENSG00000256436,1.23581610402492,0.00218153771925302,3.2887998793066,2.93848378080176,1.34067393820429,0.955739631516427,0.953088733607027
ENSG00000112232,1.46061137183054,0.010007533859527,2.92074502416797,1.88135450048412,1.48637874634716,1.3565876293053,0.889720307181402
ENSG00000258790,-2.71958163961171,0.0907630266752748,2.83405163233078,4.07763859968387,3.95937763970681,2.64829509435063,2.27783993751289
ENSG00000185527,1.45672157052265,0.0128584712733548,2.75438467571028,2.07803431726693,1.18305881347488,1.10908854053347,0.949487641239692
