"ENSEMBL","sig95","sig90","sig85","sig80"
"ENSG00000000419",1.32524654475926,0.580872271921665,0.502422094830249,0.329205306885731
"ENSG00000000457",1.327713704042,0.917780680871788,0.540158715530003,0.395277461515778
"ENSG00000000460",1.15267349958881,0.867768031312284,0.677586319039411,0.318812355377467
"ENSG00000000938",0.84360669492801,0.712536428304787,0.469894841240812,0.394845901284508
"ENSG00000000971",1.96840147472266,1.77785957373829,0.997969366809622,0.85761752864949
"ENSG00000001036",1.91431886737551,0.875670337806259,0.740564316211419,0.539621602289988
"ENSG00000001084",0.56829502380253,0.464285274962849,0.369960050166284,0.335580188725583
"ENSG00000001167",0.969790690087596,0.685268534566769,0.477648790888176,0.332350364783169
"ENSG00000001460",1.91912607636036,1.07404882565666,0.779402723532073,0.429864660033815
"ENSG00000001461",1.91667651155195,0.816229322204384,0.769469007351012,0.437920673446848
"ENSG00000001497",2.46631538939206,1.16791922437281,0.882890936965728,0.471390099065649
"ENSG00000001561",1.90223972435934,1.1647288235069,0.640329700250449,0.489811858158087
"ENSG00000001629",1.4421460682691,0.791466167111335,0.603049336087644,0.327424675184846
"ENSG00000001630",2.77660159836676,1.20950371400761,1.0187942211582,0.643680477464251
"ENSG00000001631",1.77657365917633,1.2014234357374,0.699616325783051,0.530520403966963
"ENSG00000002016",2.09646078878625,1.04231087947398,0.72493614096265,0.448503962194539
"ENSG00000002330",1.04582769032985,0.653446100364841,0.465402352403295,0.328805446635815
"ENSG00000002549",2.00048369335466,0.706228741457327,0.623652478315644,0.43205922541835
"ENSG00000002586",1.3232874816872,0.75140429526639,0.447378514227086,0.406195683923682
"ENSG00000002587",2.33884804267805,1.35168300846244,1.33100971428305,0.816663019312969
"ENSG00000002726",5.41796368299658,2.19833125287109,1.74461969361324,1.35256007049736
"ENSG00000002745",1.65128657655045,1.44285457799289,0.841220363958376,0.599406827688577
"ENSG00000002822",1.87760043197403,1.00147928539598,0.676238250697831,0.343919133565408
"ENSG00000002834",1.10173989990803,0.563169055895508,0.437502219770087,0.31585380360041
