"ENSEMBL","ENTREZID","SYMBOL","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000256436","259290","TAS2R31","protein_coding",1.23581610402492,0.487109422079117,3.21802774703292,0.00218153771925302,0.99971674718633
"ENSG00000129646","84074","QRICH2","protein_coding",0.796596385752344,1.12854834431911,3.02786633584569,0.00376707809548537,0.99971674718633
"ENSG00000151881","64417","TMEM267","protein_coding",-0.756912913347747,1.98816383514222,-2.94848068306359,0.00470573872004245,0.99971674718633
"ENSG00000174013","200933","FBXO45","protein_coding",-0.424097584948234,3.20023703527508,-2.94274525993912,0.00478136471994564,0.99971674718633
"ENSG00000261611",NA,NA,"protein_coding",-1.57127684699953,1.30276958514356,-2.93331808253497,0.00490812958245364,0.99971674718633
"ENSG00000166451","55839","CENPN","protein_coding",-0.828469167937158,0.700957012305568,-2.86116189675343,0.00598689071421312,0.99971674718633
"ENSG00000184434","64922","LRRC19","protein_coding",-1.20934549136455,-0.895857576096852,-2.83075808283308,0.00650407576431393,0.99971674718633
"ENSG00000169621","10887","PROKR1","protein_coding",-0.663587992600204,2.19821990497175,-2.8295819093057,0.00652488944159704,0.99971674718633
"ENSG00000197467","1305","COL13A1","protein_coding",2.05106260117052,-0.593551598458028,2.82192281667865,0.00666193824770389,0.99971674718633
"ENSG00000198838","6263","RYR3","protein_coding",0.86821724591887,0.528341395194,2.81619605186006,0.00676614322432237,0.99971674718633
"ENSG00000087301","57544","TXNDC16","protein_coding",-0.498990464764772,3.41676533618038,-2.72371046597221,0.00867132855570721,0.99971674718633
"ENSG00000270181",NA,NA,"protein_coding",-2.75339946976864,-3.43874171945637,-2.71940462745496,0.00877102374728729,0.99971674718633
"ENSG00000271793",NA,NA,"protein_coding",-2.45570090567797,-1.89226399757883,-2.7113377906957,0.00896063731503937,0.99971674718633
"ENSG00000124786","51000","SLC35B3","protein_coding",-0.395151341108217,2.90727877173149,-2.7030739393632,0.00915877662472364,0.99971674718633
"ENSG00000161653","162417","NAGS","protein_coding",0.823169554402641,0.427593367616257,2.70052139382096,0.0092207857230346,0.99971674718633
"ENSG00000172058","8293","SERF1A","protein_coding",-2.3536619192605,-1.09325699339752,-2.67772800609288,0.00979181757639005,0.99971674718633
"ENSG00000182858","79087","ALG12","protein_coding",0.327693681491601,3.98047481530058,2.67309105272184,0.00991187832764559,0.99971674718633
"ENSG00000112232","202559","KHDRBS2","protein_coding",1.46061137183054,-0.550545054895157,2.66943333428544,0.010007533859527,0.99971674718633
"ENSG00000122477","127495","LRRC39","protein_coding",-1.11864684086186,-0.562855019584173,-2.65324813050044,0.0104410283554262,0.99971674718633
"ENSG00000111319","6337","SCNN1A","protein_coding",1.24949208689803,-0.439913668289393,2.65291806452145,0.0104500446491159,0.99971674718633
"ENSG00000091164","9352","TXNL1","protein_coding",-0.309609794876605,4.25368132807896,-2.63069733774965,0.0110736651484618,0.99971674718633
"ENSG00000143195","387597","ILDR2","protein_coding",-1.38206889947316,-1.13714572183589,-2.58543568742058,0.0124501804014418,0.99971674718633
"ENSG00000042832","7038","TG","protein_coding",0.995089313518678,1.75741871571761,2.58426863309467,0.0124876492354042,0.99971674718633
"ENSG00000185527","5148","PDE6G","protein_coding",1.45672157052265,-1.12605667988809,2.57288722682271,0.0128584712733548,0.99971674718633
"ENSG00000277462","93474","ZNF670","protein_coding",-0.83341952998449,0.342650912172142,-2.5675970140589,0.013034219460651,0.99971674718633
"ENSG00000072849","51009","DERL2","protein_coding",-0.262356665456083,4.35465835001273,-2.54925657097357,0.0136605504263393,0.99971674718633
"ENSG00000163795","130557","ZNF513","protein_coding",-0.405454943731246,3.1660859380367,-2.54441754122146,0.0138302988743498,0.99971674718633
"ENSG00000100362","5816","PVALB","protein_coding",1.96922926346374,-1.0772253459535,2.53234769865191,0.0142620697555266,0.99971674718633
"ENSG00000271741",NA,NA,"protein_coding",1.32670486373939,2.31355685740849,2.51309654378607,0.0149760759473956,0.99971674718633
"ENSG00000168502","23255","MTCL1","protein_coding",-1.00482753343295,-0.249192880066367,-2.50991529922639,0.0150971335183678,0.99971674718633
"ENSG00000167535","784","CACNB3","protein_coding",0.916470604475564,0.901718780301861,2.4870559563093,0.0159933819397536,0.99971674718633
"ENSG00000055147","10827","FAM114A2","protein_coding",-0.311051265406014,3.86685125343969,-2.48533686105999,0.0160626887414635,0.99971674718633
"ENSG00000173366",NA,NA,"protein_coding",3.67278481724742,-0.602315399641763,2.47184631935542,0.016616059870214,0.99971674718633
"ENSG00000160062","653121","ZBTB8A","protein_coding",-1.42705978628702,-0.625453837629915,-2.46994703173901,0.0166953338569956,0.99971674718633
"ENSG00000115392","55120","FANCL","protein_coding",-0.601582634487459,1.78373485555946,-2.44958533774313,0.0175668964427164,0.99971674718633
"ENSG00000152700","51128","SAR1B","protein_coding",-0.24265617243798,5.04615354177373,-2.44503955438149,0.0177669864663123,0.99971674718633
"ENSG00000260238","100527963","PMF1-BGLAP","protein_coding",1.94467186152596,-0.760531200538407,2.44318748727875,0.017849095009816,0.99971674718633
"ENSG00000254692",NA,NA,"protein_coding",-2.67536352645321,-3.19722108225595,-2.44135008110134,0.0179308910701155,0.99971674718633
"ENSG00000152475","116412","ZNF837","protein_coding",1.07696509340927,-0.445973070490175,2.44024580796088,0.0179802123604285,0.99971674718633
"ENSG00000113597","80006","TRAPPC13","protein_coding",-0.298082809024392,3.83177156348714,-2.43352025947039,0.018283248338078,0.99971674718633
"ENSG00000100749","7443","VRK1","protein_coding",-0.642611590284633,4.17409235738644,-2.42741129843742,0.0185624769850556,0.99971674718633
"ENSG00000126351","7067","THRA","protein_coding",0.387981119130338,3.95263396187308,2.42672408776523,0.0185941268277193,0.99971674718633
"ENSG00000148935","2620","GAS2","protein_coding",1.45254222552316,-0.267789902344804,2.41761971382366,0.0190180374388689,0.99971674718633
"ENSG00000104980","10469","TIMM44","protein_coding",0.397285188141234,2.81749480758205,2.40973437824351,0.0193921846729889,0.99971674718633
"ENSG00000167604","84807","NFKBID","protein_coding",0.368114767966283,3.29561676040298,2.40442867266913,0.0196476390331759,0.99971674718633
"ENSG00000150779","26521","TIMM8B","protein_coding",-0.583109194178055,1.90053713484783,-2.40169993090282,0.0197801928105129,0.99971674718633
"ENSG00000186501","84065","TMEM222","protein_coding",-0.289000659651485,4.06030581467423,-2.38565304700105,0.0205760617517951,0.99971674718633
"ENSG00000125733","9322","TRIP10","protein_coding",0.913072731764617,0.454945399927138,2.38137313268809,0.02079312299007,0.99971674718633
"ENSG00000188223",NA,NA,"protein_coding",2.72249298948948,-1.75554933944912,2.37753032052632,0.0209897615034852,0.99971674718633
"ENSG00000010017","10048","RANBP9","protein_coding",-0.442335042165781,4.99284741848273,-2.37475383870261,0.0211328700306467,0.99971674718633
"ENSG00000178449","84987","COX14","protein_coding",-0.598430099418852,2.01499750620164,-2.37052513852464,0.0213525092798509,0.99971674718633
"ENSG00000118557","83449","PMFBP1","protein_coding",-1.32838975975083,-0.434799948691677,-2.36755013851626,0.0215082532550437,0.99971674718633
"ENSG00000205981","131118","DNAJC19","protein_coding",-0.425298723637394,3.23162345419359,-2.35209910348996,0.0223335914980207,0.99971674718633
"ENSG00000118690","84071","ARMC2","protein_coding",0.569706350337841,1.83063572508267,2.34495911853559,0.0227244574616111,0.99971674718633
"ENSG00000278637","8359","HIST1H4A","protein_coding",1.04578557981995,0.0587739275847183,2.34377110203845,0.0227900829100488,0.99971674718633
"ENSG00000164309","202333","CMYA5","protein_coding",1.26898408069703,-0.503344199813223,2.33944871712463,0.0230302795725393,0.99971674718633
"ENSG00000152944","9412","MED21","protein_coding",-0.296123281429739,3.85636549570395,-2.32401707520315,0.0239063608411208,0.99971674718633
"ENSG00000126705","27245","AHDC1","protein_coding",0.685252189244444,2.30806390372058,2.31682126762205,0.0243249436138338,0.99971674718633
"ENSG00000150433","219854","TMEM218","protein_coding",-0.349058429094171,3.15719064794348,-2.30893454292266,0.0247912053653929,0.99971674718633
"ENSG00000230989","3281","HSBP1","protein_coding",-0.362615955862909,4.49374237207185,-2.3058408889517,0.0249762633363841,0.99971674718633
"ENSG00000131153","51659","GINS2","protein_coding",0.726803153096718,0.795564505680615,2.30200678946371,0.025207318952856,0.99971674718633
"ENSG00000285901",NA,NA,"protein_coding",-4.36865903571442,-1.20580822785884,-2.29090862505517,0.0258868849782419,0.99971674718633
"ENSG00000168101","84309","NUDT16L1","protein_coding",0.327426776552269,3.47517816738491,2.28540457649807,0.026229912156117,0.99971674718633
"ENSG00000187498","1282","COL4A1","protein_coding",-1.66533531992992,-2.0352097656673,-2.28485936876851,0.0262641097860631,0.99971674718633
"ENSG00000259224","643664","SLC35G6","protein_coding",0.914809425285442,-0.430324355980774,2.2673540610487,0.0273833689585399,0.99971674718633
"ENSG00000171611","171558","PTCRA","protein_coding",1.15840571090745,1.71269097585904,2.26428544212549,0.0275838708153728,0.99971674718633
"ENSG00000082515","29093","MRPL22","protein_coding",-0.396592735439167,2.18455732352461,-2.25689882475556,0.0280718540309369,0.99971674718633
"ENSG00000239779","23559","WBP1","protein_coding",-0.259344934165505,3.79284416175878,-2.25330244811624,0.0283121984447431,0.99971674718633
"ENSG00000109674","55247","NEIL3","protein_coding",-0.882046731917499,2.43042242271452,-2.24481763997801,0.0288864690817517,0.99971674718633
"ENSG00000148834","9446","GSTO1","protein_coding",-0.348553027091828,4.03563033393008,-2.23694049508257,0.0294288127515124,0.99971674718633
"ENSG00000167904","137695","TMEM68","protein_coding",-0.37427546667507,2.86913713159967,-2.23124337103296,0.0298266523839438,0.99971674718633
"ENSG00000146733","5723","PSPH","protein_coding",-0.737338735423124,0.27642546170608,-2.22977482181179,0.0299299709601199,0.99971674718633
"ENSG00000162961","84661","DPY30","protein_coding",-0.642167282780408,2.21329402819378,-2.22955907579474,0.0299451762033943,0.99971674718633
"ENSG00000109107","230","ALDOC","protein_coding",0.462693548818,3.24544682209514,2.22575559109359,0.0302143592807936,0.99971674718633
"ENSG00000117010","127396","ZNF684","protein_coding",-0.790074316206545,0.962350225711669,-2.22463789688702,0.0302938667906391,0.99971674718633
"ENSG00000228253","4509","ATP8","protein_coding",1.27996491679641,-0.111107305026225,2.21918131752434,0.0306846805824548,0.99971674718633
"ENSG00000177076","340485","ACER2","protein_coding",0.611335531581986,1.19377137294866,2.21805695757041,0.0307657607694375,0.99971674718633
"ENSG00000135763","9816","URB2","protein_coding",-0.355421277490205,3.42693931084214,-2.21717643890395,0.0308293889474603,0.99971674718633
"ENSG00000162572","6339","SCNN1D","protein_coding",1.09007218794018,-0.335281556960862,2.20327867206976,0.0318491613834972,0.99971674718633
"ENSG00000174429","137735","ABRA","protein_coding",1.01862722636008,-0.744246182880349,2.19816845584344,0.0322315404075708,0.99971674718633
"ENSG00000171806","92342","METTL18","protein_coding",-0.598248969897848,2.13810945967999,-2.19677248971979,0.0323366961460106,0.99971674718633
"ENSG00000152763","79819","WDR78","protein_coding",-1.21686774863345,-1.13744243091116,-2.19562203976835,0.0324235845285569,0.99971674718633
"ENSG00000173421","339834","CCDC36","protein_coding",1.51201292288325,-0.508429700536973,2.18989769483776,0.0328589818297392,0.99971674718633
"ENSG00000182195","23641","LDOC1","protein_coding",1.42168508989968,-1.05972665975997,2.1849273014113,0.0332411976999664,0.99971674718633
"ENSG00000180921","286077","FAM83H","protein_coding",0.823209922153768,0.50365753916712,2.18421314679488,0.033296435201819,0.99971674718633
"ENSG00000135736","92922","CCDC102A","protein_coding",0.720974953518441,1.77434762191878,2.1819461222592,0.0334723172664803,0.99971674718633
"ENSG00000166275","119032","BORCS7","protein_coding",-0.465912744088846,3.1033245284024,-2.1792611050499,0.0336816846114301,0.99971674718633
"ENSG00000134056","92259","MRPS36","protein_coding",-0.499847327337904,2.08363848127979,-2.17644888086317,0.0339022044327108,0.99971674718633
"ENSG00000126903","8273","SLC10A3","protein_coding",0.289347644388904,3.72200742271331,2.175476506872,0.0339787475288907,0.99971674718633
"ENSG00000100479","5427","POLE2","protein_coding",-0.802582422953593,0.632012449099926,-2.1688384244313,0.0345053505708556,0.99971674718633
