"ENSEMBL","logFC_C10","P_C10"
"ENSG00000267228",-4.10202335674088,0.00494130888586039
"ENSG00000265118",3.4284031471035,0.00944685075669472
"ENSG00000088827",2.94121708352062,0.00892708041079693
"ENSG00000281887",3.97508405150012,0.0392965868207484
"ENSG00000101447",2.23410703740259,0.00320804852521678
"ENSG00000142494",2.58474765903173,0.00792191707429672
"ENSG00000166762",-1.67696151972686,0.000649717316055293
"ENSG00000284952",-2.91845286767147,0.022326019599788
"ENSG00000105948",2.29559130271533,0.0082838036168676
"ENSG00000281028",2.79234018926598,0.0246063040919488
"ENSG00000259753",3.92173141657679,0.0738441702459973
"ENSG00000100433",2.18712346865844,0.0121512110778693
"ENSG00000124507",1.75581891418368,0.00430939538206346
"ENSG00000135547",-2.35500072595838,0.0183973469455847
"ENSG00000130489",2.0918248219241,0.0116368441999532
"ENSG00000184916",2.43993950234796,0.0249635918001401
"ENSG00000261459",-3.13449264881583,0.0580624513821332
"ENSG00000183087",1.3108772971796,0.0011671828775625
"ENSG00000228570",-2.18454417675325,0.0179077913197896
"ENSG00000237541",-2.78871877014173,0.0450909493058664
"ENSG00000204001",-2.88998480100948,0.0560056548344284
"ENSG00000250264",2.19403859250729,0.0231718583754749
"ENSG00000116983",1.92888358206154,0.0143720234847699
"ENSG00000180071",2.0253380965261,0.0178431260959913
"ENSG00000163491",-1.89943163334138,0.0143723516557168
"ENSG00000150967",1.77824710681042,0.0109227933932923
"ENSG00000284922",2.47055981945821,0.0401075561432023
"ENSG00000235169",2.1661806469999,0.027613734499307
"ENSG00000255439",2.66283781525491,0.0592736527237606
"ENSG00000160201",-3.01813121066595,0.0829312080577723
"ENSG00000179761",1.29794976341033,0.00325808497133557
"ENSG00000283239",2.7087325035384,0.0648545243791665
"ENSG00000125618",2.72300766717619,0.0695925262991959
"ENSG00000155542",2.05579579453636,0.0298063257532176
"ENSG00000240764",-2.09325221265597,0.0319194689996748
"ENSG00000185386",1.56193295381603,0.00997236514958265
"ENSG00000255152",2.2220008346457,0.0402082545455073
"ENSG00000037897",1.39293880028301,0.00608311955129014
"ENSG00000164850",1.51099013055068,0.0103187610798508
"ENSG00000147889",-1.62690873234306,0.0153343137786744
"ENSG00000184828",1.84698175946877,0.0261244231763502
"ENSG00000177602",1.64370716675117,0.016771177389321
"ENSG00000203989",-2.9188146599183,0.100576287286259
"ENSG00000260238",-2.17112870787295,0.0458752996307169
"ENSG00000128165",1.91438582362789,0.0305656289707044
"ENSG00000105711",1.38584121263967,0.00826740820548582
"ENSG00000070018",1.56729204544789,0.0151048404101939
"ENSG00000260861",1.92936984986352,0.0367295058329865
"ENSG00000036448",3.71250476623485,0.190587903323096
"ENSG00000146955",1.59003723079694,0.0212698235415102
"ENSG00000205593",1.01316056860992,0.00241631620765953
"ENSG00000244693",-2.66725181806237,0.101716737966006
"ENSG00000110944",1.59724849497679,0.0228013168988551
"ENSG00000002745",-1.21930983536212,0.00750025699422618
"ENSG00000197915",-1.52705282614474,0.0202109361610157
"ENSG00000078814",1.4548393930257,0.0168053019060114
"ENSG00000119865",1.48585642293655,0.0188754893106962
"ENSG00000196208",-1.74720619590452,0.0355890012949428
"ENSG00000115155",2.21680601012934,0.0729193820754563
"ENSG00000196993",-2.22456676240012,0.0746906922487749
"ENSG00000099958",1.72645860561022,0.035585063050022
"ENSG00000135862",1.23689385651898,0.00986062674667922
"ENSG00000204839",1.33256548586852,0.0137457821946401
"ENSG00000283528",2.32757417212277,0.0880153099887297
"ENSG00000255374",2.23019908200102,0.0792922996823029
"ENSG00000184659",-1.69299806513033,0.0359854697440986
"ENSG00000163380",-1.15250923620646,0.00775637713426255
"ENSG00000272636",1.80215007731334,0.0467219692362645
"ENSG00000183690",-1.1890269594263,0.00986955045696378
"ENSG00000004809",1.29507558141236,0.0150967293029344
"ENSG00000179698",1.2295298218027,0.0121321566157856
"ENSG00000164512",1.42297714900749,0.0231305331246685
"ENSG00000108556",1.44344684687042,0.0244464541690421
"ENSG00000172058",2.05162065903269,0.0736521601242158
"ENSG00000033122",-1.24456492642985,0.0142621780920752
"ENSG00000130513",1.61165622386318,0.0378733210839499
"ENSG00000213988",-1.87585331161631,0.0607512280877464
"ENSG00000162526",1.63759111551374,0.0410785322631583
"ENSG00000167618",-2.06322707468445,0.0794375369845088
"ENSG00000162594",1.75586636562207,0.0511635784978835
"ENSG00000129422",1.78613044725996,0.0542215396981064
"ENSG00000183117",1.93041858692376,0.0677450551412694
"ENSG00000137941",-1.3220468368027,0.0215133723640063
"ENSG00000147813",1.01368628116258,0.00696881261634818
"ENSG00000260537",2.3957900711758,0.123365934417028
"ENSG00000108771",1.17901616227849,0.0143011528944003
"ENSG00000213648",1.34540399925356,0.0242776197383954
"ENSG00000280987",-3.448471227424,0.234810470157384
"ENSG00000135541",-1.12126371637617,0.0116180102524142
"ENSG00000140675",-1.46874652645511,0.0335569880537211
