ENSEMBL,logFC,P.Value,pi_value,sig95,sig90,sig85,sig80
ENSG00000196826,-3.70418046819077,0.0148876460920411,6.76818210858002,7.62160419352116,7.88239843853769,4.75105898960117,4.33155491768677
ENSG00000258465,4.28411821802925,0.0412723459605105,5.93067983273213,14.6635262901273,12.8940901070446,4.47708124860607,4.78366861086938
ENSG00000264324,2.74455657173,0.0118877821009027,5.28299465043026,3.29784266396889,1.97888020124293,2.46358338928262,1.27532454965592
ENSG00000173867,-2.94161555041076,0.0300106674884079,4.47926961229414,14.6887250499373,14.5482803806226,5.79438051888836,6.29512349101384
ENSG00000188596,-1.45513753489847,0.00165967061773912,4.04525047156894,1.70606328358713,1.60413430021958,1.50661125123392,1.25824083650207
ENSG00000213214,1.43536970310872,0.00164827821206004,3.99459007928537,3.26534484111142,1.62903848428915,1.34837055709833,1.27316494861302
ENSG00000220201,1.34032973239851,0.0011617260379451,3.93372874106546,2.78957945129176,1.44484591191919,1.43226984024203,0.985801754639927
ENSG00000283239,2.51181187774207,0.0293588729037664,3.84875042796523,8.32085017187731,8.56192555470303,7.27822363519644,6.09037227151545
ENSG00000138180,1.93478863169266,0.0116841567737021,3.73879062965124,2.93483163855178,2.11533052312772,1.78558785666837,1.67495787586575
ENSG00000178860,1.74579460453624,0.00752887415199145,3.7067932439772,3.71937522536445,2.42818024797653,1.53217275562096,1.78784781778602
ENSG00000179344,3.2441212495298,0.0723578471932146,3.69996687990318,11.5164859678534,6.86272190750168,7.49684271846309,6.15097988177714
ENSG00000181625,2.11362175320549,0.0202213685561397,3.58087568668895,3.58487569661359,2.20730600183728,3.30381294336084,1.68810288351424
ENSG00000171241,1.53870827807693,0.00624683326729952,3.39183633732827,3.85679287237772,2.36163755676556,1.62856623288858,1.75744089379563
ENSG00000242852,2.38285531558694,0.039006293841489,3.3571221975152,3.06343256263624,1.73606938467549,1.63571981456003,0.846837192114239
ENSG00000270757,2.79381432352978,0.06480915203337,3.32006741722649,22.3787417623391,10.2023909938771,12.1423210184916,6.49614194160025
ENSG00000240764,-1.82827543821914,0.0230983385191896,2.99182513623519,5.02065439991983,2.81823134786978,2.58202137457569,1.51331272443861
ENSG00000259753,2.66212855913308,0.0773884740711244,2.95848660434622,8.85479330689378,7.94511105220444,7.40710608957423,7.03357038940163
ENSG00000162526,1.81155912287704,0.0240726557832835,2.93196495232153,2.08408123429756,1.06002571087367,1.74665807603821,0.75870781913678
ENSG00000267645,-2.7729517600525,0.0900246319209758,2.89950552277939,2.51977501600561,1.2000808466107,1.22145746060125,0.567389706761014
ENSG00000118307,-1.82844974986151,0.0287622521295691,2.81796490313111,3.15340482680266,2.12308999381811,1.84216145922973,1.27280202489649
ENSG00000189253,2.03856457294044,0.0452069309901018,2.74145139464889,3.26905926887165,2.69837329532712,1.39699982987654,1.55046446607297
