ENSEMBL,logFC,P.Value
ENSG00000139329,2.43668545680323,0.00334993995346035
ENSG00000285708,-1.79029483020188,0.00236598873619139
ENSG00000284952,-2.08865922540853,0.00622101983722705
ENSG00000170917,-1.06645416547856,0.000130901076058811
ENSG00000283765,-2.44886953245167,0.0215438148982389
ENSG00000120645,1.82806251093212,0.00922922396334597
ENSG00000168772,1.54635354206194,0.00456405409095619
ENSG00000180834,1.99759461697077,0.0180705937694158
ENSG00000186792,1.09246359599134,0.00076579950718147
ENSG00000198796,-1.71903566452817,0.0111179857633213
ENSG00000284713,1.77975106046493,0.0162827108982961
ENSG00000107249,1.46552005075504,0.00840777186210453
ENSG00000066468,1.38985875066303,0.00702634672316408
ENSG00000154380,-1.41961468350396,0.00914473778806482
ENSG00000130529,-1.42106126152415,0.00985154618241552
ENSG00000285713,-1.52188097714722,0.0169377773273936
ENSG00000116299,-1.44507419448595,0.0137142211163233
ENSG00000153976,-1.79373274894223,0.0320970600309979
ENSG00000188596,-0.993431247501669,0.00295425655381042
ENSG00000113389,1.50042057824986,0.0283400631177252
ENSG00000244693,1.90944153843941,0.0627829276629279
ENSG00000260170,2.07941621928993,0.0836637952907961
ENSG00000264324,1.4707355009542,0.0321032397557946
ENSG00000226174,-0.988659083445169,0.00602723930021837
ENSG00000186047,-0.84380334889083,0.00326393702453857
ENSG00000275395,1.02819541590009,0.00921639354068089
ENSG00000168903,1.86844804147554,0.0907248198395649
ENSG00000206140,-1.02859720539949,0.0142911678969363
ENSG00000164638,1.07599304779043,0.0188122228370333
ENSG00000168502,0.916780969989588,0.0111635206972129
ENSG00000174928,1.18847058881206,0.0355228667476382
ENSG00000092096,1.10653045103231,0.0309425237151731
ENSG00000111247,0.896100656557747,0.014661007485812
ENSG00000282608,1.06965489205696,0.029378326271473
ENSG00000163293,-1.04075988116149,0.0277551799461796
ENSG00000118307,-1.17497882461546,0.0426624675690078
ENSG00000170667,0.957905860197283,0.0211952277164079
ENSG00000177685,0.892274001342895,0.016141766351705
ENSG00000198515,-1.14737830188739,0.0433816194153836
ENSG00000175701,0.743052545827065,0.00816762109821966
ENSG00000206557,-1.10374521608765,0.041023915247903
ENSG00000284194,-1.61500253041579,0.113532899696378
ENSG00000148019,-0.874427721960213,0.0188867268595356
ENSG00000109805,0.945650961660053,0.0255501748663068
ENSG00000104177,-0.625909261002485,0.00405457717283037
ENSG00000164114,0.743976454149182,0.012073752369205
ENSG00000185664,1.01843855056223,0.04095477582341
ENSG00000106624,0.962061696654617,0.035628630187534
ENSG00000148848,-0.918753573361114,0.0324258766930326
ENSG00000179855,1.05410621975577,0.0629521596314045
ENSG00000196724,0.727015770491603,0.0202827910144759
ENSG00000162994,0.723778963043701,0.0208441730228763
ENSG00000165655,-0.953348958222269,0.0547889146562412
ENSG00000212123,0.777741249204896,0.0298455061447488
ENSG00000133195,0.446074866917926,0.00249888963350663
ENSG00000184371,0.675935686761521,0.0196817758305619
ENSG00000169607,0.727911754910301,0.0309617882539022
ENSG00000108797,0.669379474099615,0.0232201908044796
ENSG00000162373,0.967789746512439,0.076100196782558
ENSG00000187066,0.615740038330393,0.0191945860376132
ENSG00000175449,0.549047524622723,0.0120591842946038
ENSG00000197093,0.85580521601637,0.0629031773087498
ENSG00000121753,0.900571441870904,0.0724736490220084
ENSG00000135451,0.704890808881092,0.0391602457965742
ENSG00000185085,0.315978591867786,0.000962601955209611
ENSG00000117724,0.591207964598595,0.0244515410453888
ENSG00000143228,0.786009138636567,0.0643771699018186
ENSG00000130653,0.606947090155247,0.0296435473226056
ENSG00000185869,0.618130652819484,0.0317412916317412
ENSG00000141682,0.510737741627325,0.0163283452421971
ENSG00000164849,0.775300425174923,0.0678620662385494
ENSG00000204947,-0.642713606242833,0.0396869464025301
ENSG00000146350,0.455160298897071,0.0105205698162408
ENSG00000276644,0.661344292491689,0.0534605976630705
ENSG00000196993,1.07933539873949,0.168190678846431
ENSG00000178878,-0.619972762597184,0.0465429727031149
ENSG00000177868,0.589679405244373,0.0412357587840537
ENSG00000169733,0.349348342993729,0.00600214655415649
ENSG00000183605,0.47021768748129,0.0230757172117072
ENSG00000162341,0.457125550059803,0.0218990214029339
ENSG00000242612,0.515913201086693,0.0339679572591858
ENSG00000163521,-0.52354876772743,0.0361005844066365
ENSG00000131495,0.350012631866831,0.00761529715365304
ENSG00000163808,0.592723730343819,0.0597117148956997
ENSG00000078795,-0.578832210159171,0.0631418681350645
ENSG00000133256,0.478004115022407,0.035759656554463
ENSG00000076258,0.445477320962561,0.0286755037053089
ENSG00000283761,-0.504793696289255,0.0439665041596347
ENSG00000090889,0.603647091675979,0.0823422007790224
ENSG00000126458,0.484472772077824,0.0450593683996447
ENSG00000039068,0.582606277997088,0.0834017383663283
ENSG00000004809,0.542973057026163,0.0760020292617548
ENSG00000150779,0.4200364346815,0.0437089801539267
ENSG00000144306,-0.282014051831716,0.00980329620551157
ENSG00000173992,0.36805372125151,0.0360930443435125
ENSG00000137210,0.348315230945032,0.0340506883887917
ENSG00000072274,0.435315459004912,0.0692619776843122
ENSG00000112977,0.392569469398063,0.0575824672066516
ENSG00000198554,0.359388666396137,0.0456210632857061
ENSG00000143774,0.538236861971267,0.146961431626735
ENSG00000121691,0.417815736076663,0.0938217223824556
ENSG00000149212,0.437263817430975,0.124647511093811
ENSG00000243317,0.417754309146989,0.118619116999504
ENSG00000111666,0.409519029435761,0.128583226115244
ENSG00000178719,0.504078170670248,0.191987567976133
ENSG00000120158,0.323479449897306,0.117100997937396
ENSG00000104219,0.272962327753986,0.0901005684284365
ENSG00000118816,0.319137140176379,0.170972611601374
ENSG00000104904,0.341834551370823,0.220004249430962
ENSG00000130560,0.292220451303541,0.173898922564943
ENSG00000140264,0.314556474204641,0.227315498559581
ENSG00000099968,0.224609454643941,0.209157060067997
