ENSEMBL,logFC,P.Value
ENSG00000143147,-0.795552196,0.038734065
ENSG00000274349,0.90047862,0.038918042
ENSG00000242852,2.382855316,0.039006294
ENSG00000147896,-1.00016675,0.039937652
ENSG00000100422,0.245513639,0.039960305
ENSG00000226288,-0.880748182,0.040051573
ENSG00000174886,0.286522524,0.040503791
ENSG00000010319,1.400690081,0.040853836
ENSG00000258465,4.284118218,0.041272346
ENSG00000123154,0.435537382,0.04166731
ENSG00000277277,-1.632275669,0.04191355
ENSG00000133704,-0.185997863,0.041953316
ENSG00000117155,-0.441121725,0.042144305
ENSG00000253304,-0.74092556,0.042228842
ENSG00000066468,1.240463422,0.042360395
ENSG00000165118,0.380628694,0.042406292
ENSG00000255833,0.862260885,0.042734236
ENSG00000151883,-0.272897258,0.042929998
ENSG00000151023,-0.823002121,0.043018326
ENSG00000178175,0.773782412,0.043315208
ENSG00000100600,1.135485532,0.043422582
ENSG00000183054,1.908550457,0.043710411
ENSG00000189253,2.038564573,0.045206931
ENSG00000146963,-0.218862545,0.045469431
ENSG00000109670,-0.294290405,0.045584735
ENSG00000181652,1.344156795,0.045619624
ENSG00000130748,-0.979189577,0.045684206
ENSG00000163606,0.535265437,0.045835684
ENSG00000160213,0.439933058,0.045862014
ENSG00000204856,0.361639635,0.04597177
ENSG00000221963,-0.543688747,0.046178342
ENSG00000213988,1.401392629,0.046298847
ENSG00000109689,-0.323019621,0.046711106
ENSG00000182621,-0.550551897,0.046897922
ENSG00000147133,-0.28049067,0.047360035
ENSG00000182224,0.670696081,0.047457414
ENSG00000138101,-0.366088347,0.047760841
ENSG00000173542,-0.332748571,0.047871784
ENSG00000284713,1.613646677,0.047874097
ENSG00000086475,0.346150198,0.047900195
ENSG00000173848,0.463857603,0.047948134
ENSG00000108639,0.325843115,0.048102762
ENSG00000124160,0.255405729,0.048125683
ENSG00000148291,0.532916372,0.048126745
ENSG00000143575,0.321389619,0.04900898
ENSG00000169758,-0.787174834,0.049062452
ENSG00000072506,0.394856698,0.049095367
ENSG00000126522,-0.337219841,0.04927117
ENSG00000198937,0.873586966,0.049690603
ENSG00000167747,0.45230898,0.049767207
ENSG00000185946,-0.257295066,0.049893034
ENSG00000113088,0.820636743,0.04989365
ENSG00000168502,0.88258197,0.05021289
ENSG00000138688,-0.31817118,0.050237231
ENSG00000183091,-0.487682311,0.050327339
ENSG00000165689,0.379438838,0.050360189
ENSG00000171680,1.466204179,0.050397464
ENSG00000111145,-0.248261558,0.050446888
ENSG00000197345,0.370150537,0.050492523
ENSG00000105699,0.53469564,0.05060574
ENSG00000276368,1.689573582,0.050875162
ENSG00000126602,0.36004931,0.050935444
ENSG00000148143,-1.54349395,0.051067596
ENSG00000255330,1.712581472,0.051079699
ENSG00000185897,1.640383419,0.051107949
ENSG00000160049,0.310554988,0.051472204
ENSG00000160226,-0.427420186,0.051514406
ENSG00000171757,0.594279206,0.051696689
ENSG00000140323,0.618603104,0.051812404
ENSG00000178947,0.801885704,0.051850174
ENSG00000091513,-0.929394873,0.05193752
ENSG00000124575,0.543186505,0.052063478
ENSG00000187837,0.445404669,0.052149641
ENSG00000141449,-0.456444656,0.052277116
ENSG00000132207,-0.751376795,0.052407962
ENSG00000273703,1.120148177,0.052635499
ENSG00000120253,0.300639952,0.05271523
ENSG00000167487,-0.485633311,0.05296486
ENSG00000083307,-1.212483929,0.053007943
ENSG00000141971,0.375504768,0.053046286
ENSG00000106069,-0.396321903,0.053318826
ENSG00000072571,1.079417256,0.053627618
ENSG00000102230,-1.162095956,0.053971103
ENSG00000197928,1.064822268,0.053995232
ENSG00000179588,-0.517957751,0.054018232
ENSG00000151532,-0.259307395,0.054295237
ENSG00000175485,-1.201266232,0.055075468
ENSG00000169116,0.883804393,0.055290458
ENSG00000198840,-0.382397522,0.055323914
ENSG00000059758,-0.213196182,0.055330505
ENSG00000155085,-0.405677369,0.055427938
ENSG00000154165,1.024925754,0.05561934
ENSG00000213123,1.055505843,0.055840561
ENSG00000076382,0.556395127,0.055881529
ENSG00000147180,0.915730156,0.056144454
ENSG00000113448,-0.650709626,0.056147044
ENSG00000103494,-0.562683148,0.056401699
ENSG00000125347,-0.342606672,0.056578304
ENSG00000136158,0.82756587,0.056879051
ENSG00000178623,-0.51407655,0.056941953
ENSG00000168913,1.113529735,0.057058114
ENSG00000171045,0.492525876,0.057087176
ENSG00000170917,-0.714269593,0.057131761
ENSG00000068697,0.341741825,0.057193468
ENSG00000128606,-1.178742115,0.057220175
ENSG00000155729,0.267108671,0.057367217
ENSG00000073060,0.561290263,0.057723434
ENSG00000198182,0.724534623,0.057725897
ENSG00000124802,0.610229067,0.057734953
ENSG00000137265,0.776274593,0.058101284
ENSG00000057657,-0.424605104,0.058111742
ENSG00000196724,0.761474067,0.058195056
ENSG00000183977,-0.561568834,0.058326054
ENSG00000165905,0.909231381,0.058830772
ENSG00000197837,0.367430578,0.058865212
ENSG00000244693,1.965931364,0.058936302
ENSG00000197619,0.349793719,0.059143782
ENSG00000092098,-0.345228986,0.059156587
ENSG00000155313,-0.25294038,0.059170076
ENSG00000126790,-0.45398825,0.059181302
ENSG00000150779,0.52946229,0.059259753
ENSG00000162994,0.693770901,0.059534188
ENSG00000140451,-1.207754906,0.059555059
ENSG00000162946,-0.682799025,0.059611368
ENSG00000179918,0.293556906,0.059651
ENSG00000116273,-0.338503658,0.059789111
ENSG00000173480,0.319433558,0.06004814
ENSG00000053501,0.462878271,0.060194678
ENSG00000183813,0.490024402,0.060321555
ENSG00000160352,0.522425651,0.060342427
ENSG00000185085,0.231191415,0.060460859
ENSG00000152454,0.710561812,0.060477985
ENSG00000170035,-0.303624061,0.060896527
ENSG00000147202,-0.319816789,0.061021726
ENSG00000196151,-0.431105145,0.061034502
ENSG00000225528,-0.548689843,0.061112783
ENSG00000132517,1.161842189,0.061193298
ENSG00000145012,-0.309657829,0.061541955
ENSG00000213762,0.427708036,0.06159681
ENSG00000083454,0.697254957,0.061845981
ENSG00000133315,0.99445452,0.061993252
ENSG00000283761,-0.628105358,0.062124492
ENSG00000100227,0.176411368,0.062137029
ENSG00000103051,0.232473897,0.062235742
ENSG00000173917,0.694359809,0.062285515
ENSG00000137073,-0.365440413,0.062349778
ENSG00000196126,0.902077326,0.062575346
ENSG00000152242,-0.243792452,0.062839992
ENSG00000106077,0.410397697,0.062871735
ENSG00000051180,-1.429998534,0.06290981
ENSG00000181588,-0.527166239,0.063192148
ENSG00000108797,0.728776117,0.06348367
ENSG00000177873,-0.28852536,0.0634935
ENSG00000115419,-0.258556261,0.063510714
ENSG00000274641,1.001924248,0.063523486
ENSG00000113790,0.692759663,0.063900785
ENSG00000175305,0.783731798,0.064192334
ENSG00000102804,-0.416672649,0.064464029
ENSG00000143621,0.354187497,0.064540136
ENSG00000137094,-0.71594681,0.064567294
ENSG00000183340,0.414219652,0.064675026
ENSG00000270757,2.793814324,0.064809152
ENSG00000239857,0.230502477,0.064999826
ENSG00000136813,-0.215372619,0.065081802
ENSG00000112874,1.10688929,0.06509191
ENSG00000007237,-0.428306552,0.065098589
ENSG00000182551,0.323672396,0.065390013
ENSG00000114541,-0.32922099,0.065465257
ENSG00000174547,0.473277942,0.065518435
ENSG00000250264,1.412835845,0.06563072
ENSG00000148344,1.417709273,0.066153786
ENSG00000114638,-1.932513619,0.066293089
ENSG00000171606,0.338626438,0.066562606
ENSG00000138303,0.253481462,0.066805604
ENSG00000187037,-0.697565457,0.06693955
ENSG00000102409,0.714686271,0.067061199
ENSG00000163312,0.32774917,0.067145663
ENSG00000212807,0.731600813,0.067491667
ENSG00000166851,0.787061826,0.067517197
ENSG00000175073,-0.203376514,0.067747857
ENSG00000147475,0.228381136,0.067831169
ENSG00000188389,0.698409117,0.06789431
ENSG00000067113,0.662303475,0.068057758
ENSG00000006025,-0.527375634,0.06806982
ENSG00000127415,-0.546043487,0.068077655
ENSG00000137106,0.254036346,0.068175801
ENSG00000180423,0.421411526,0.068266892
ENSG00000184524,0.833494416,0.068478231
ENSG00000166676,0.4668566,0.068490418
ENSG00000241978,0.429017762,0.06882247
ENSG00000159905,0.713292628,0.069250627
ENSG00000239920,-1.699808863,0.069304527
ENSG00000172059,-0.352516543,0.06931152
ENSG00000171953,-0.332529412,0.069317395
ENSG00000110987,0.730779185,0.069328613
ENSG00000021300,0.611073282,0.069491334
ENSG00000155970,1.090905913,0.069557529
ENSG00000154305,-0.185666681,0.06959963
ENSG00000130844,0.397770301,0.069731733
ENSG00000204922,0.411140722,0.069977296
ENSG00000149016,0.293332437,0.070140204
ENSG00000165521,-0.604021366,0.070214954
ENSG00000153250,-0.203990723,0.070536232
ENSG00000124762,-0.640240043,0.070687716
ENSG00000003249,1.09157811,0.070751008
ENSG00000164114,0.693977459,0.071054171
ENSG00000122550,0.314218034,0.071065491
ENSG00000127903,1.224931577,0.071213756
ENSG00000138246,-0.192849686,0.071550907
ENSG00000197937,0.661880887,0.071634059
ENSG00000256229,0.624587724,0.071689723
ENSG00000100029,0.305900892,0.071727317
ENSG00000112425,0.452738702,0.071819865
ENSG00000143412,0.678036465,0.07187445
ENSG00000120278,0.564502421,0.071942641
ENSG00000157429,0.450472758,0.071957496
ENSG00000204498,0.425952667,0.072015729
ENSG00000179344,3.24412125,0.072357847
ENSG00000145743,-0.296883698,0.073201801
ENSG00000108523,0.166459327,0.073327109
ENSG00000204267,-0.453525022,0.07351645
ENSG00000150787,0.424865861,0.073580742
ENSG00000243244,-0.646319713,0.073735459
ENSG00000259332,0.78028512,0.073807795
ENSG00000196811,0.478743437,0.074046348
ENSG00000204219,1.048294253,0.074366911
ENSG00000181790,-0.902441731,0.074437379
ENSG00000100142,0.358711417,0.07449446
ENSG00000003436,-0.842053709,0.074504776
ENSG00000164074,0.21248225,0.07457684
ENSG00000165272,0.780877658,0.074802565
ENSG00000107036,-0.182087058,0.074802916
ENSG00000213793,0.597497143,0.074822178
ENSG00000271383,-0.44741876,0.074888747
ENSG00000161265,0.356587899,0.074945771
ENSG00000182196,0.31578451,0.07506208
ENSG00000075391,0.798013939,0.075062266
ENSG00000169554,-0.359292814,0.075226613
ENSG00000159685,0.605812572,0.075279179
ENSG00000184743,-0.233912457,0.075576146
ENSG00000126005,0.270417018,0.075684612
ENSG00000070761,0.314615377,0.075810524
ENSG00000167634,1.059477671,0.075820047
ENSG00000138594,-0.144435596,0.076052025
ENSG00000115415,-0.487592574,0.076140511
ENSG00000137962,-1.190087103,0.076230484
ENSG00000136868,-0.375110714,0.076394992
ENSG00000150764,0.703754101,0.076417726
ENSG00000250565,-0.451293649,0.076418996
ENSG00000100209,0.655357415,0.076494749
ENSG00000187189,0.325355032,0.076609109
ENSG00000161298,0.615452285,0.076626095
ENSG00000135451,0.764522422,0.076709547
ENSG00000173950,-0.346351134,0.0768529
ENSG00000126947,1.032412279,0.076979187
ENSG00000169155,-0.215080677,0.076989835
ENSG00000156170,0.443652857,0.077098015
ENSG00000148481,0.290847119,0.077157878
ENSG00000259753,2.662128559,0.077388474
ENSG00000188785,0.35401218,0.077510229
ENSG00000116096,0.838593121,0.077542231
ENSG00000174429,-0.765558103,0.077560193
ENSG00000116922,0.316637981,0.077569216
ENSG00000186104,-0.346038123,0.077664704
ENSG00000163840,-0.404949751,0.077708348
ENSG00000077348,0.442967092,0.077715678
ENSG00000277157,0.598843446,0.077752983
ENSG00000137168,0.490307543,0.077772431
ENSG00000169627,0.665602255,0.078178992
ENSG00000137074,0.347974963,0.078279301
ENSG00000167186,0.2427499,0.078380353
ENSG00000166881,0.259335508,0.078432766
ENSG00000105369,0.695883191,0.078513212
ENSG00000104218,-0.33319664,0.07865508
ENSG00000259522,2.360032951,0.078756796
ENSG00000101161,0.196455293,0.078760976
ENSG00000177432,-0.499512069,0.078855363
ENSG00000056558,0.441830315,0.078950216
ENSG00000173193,-0.627679518,0.079069963
ENSG00000133619,0.363085915,0.079136829
ENSG00000131848,-0.516385527,0.079699408
ENSG00000158864,0.251988622,0.079911251
ENSG00000270882,0.533417861,0.079994534
ENSG00000107554,-0.320761654,0.080015274
